,title,addr,score,lng,lat
209,뜬금커피,서울 송파구 석촌호수로18길 6 2층,3.3,127.100788212928,37.5064251101368
210,숙달돼지 잠실방이점,서울 송파구 오금로13길 10-1 1층,3.6,127.108970516765,37.5132886330539
211,돈족골 본점,서울 송파구 삼학사로 66,3.7,127.097431153281,37.5030817741878
212,모토쿠라시,서울 송파구 백제고분로41길 27 2층,4.0,127.106631316674,37.5082936191695
213,평화곱창,서울 송파구 백제고분로41길 27 1층,3.2,127.106631316674,37.5082936191695
214,닌자스시,서울 송파구 백제고분로9길 35 1층,3.3,127.0830224109,37.5098477933923
215,오붓식당,서울 송파구 위례광장로 120 상가동 203호,3.8,127.141629765798,37.4750145597312
216,소문난곱창,서울 송파구 거마로22길 33,3.7,127.150601872602,37.4975870353038
217,진대감 가락점,서울 송파구 중대로9길 34 1층,3.7,127.118798446524,37.4963405358618
218,또봄,서울 송파구 오금로18길 10 101호,4.0,127.110381,37.5099879
219,정목누룽지백숙,서울 송파구 위례성대로12길 11,3.8,127.122570794246,37.512583602599
220,쭈꾸미도사 방이점,서울 송파구 올림픽로32길 22 1층,4.6,127.109330990196,37.5140592887335
221,함흥본가면옥 문정점,서울 송파구 법원로 114 엠스테이트 D동 301호,3.7,127.12100938212,37.4860552797801
222,현차이나,서울 송파구 백제고분로48길 8 2층,3.4,127.114054055606,37.5114655181139
223,뽀로로파크 잠실롯데월드점,서울 송파구 올림픽로 240 롯데월드 내,4.2,127.098141751177,37.5113096112036
224,효월,서울 송파구 오금로18길 6 1층,3.1,127.110605719968,37.5102840672203
225,스시유메,서울 송파구 올림픽로32길 49,4.5,127.111645226178,37.512685436041
226,오뗄드니엔테,서울 송파구 백제고분로45길 4-21,3.4,127.11133826688,37.5100322691611
227,안재식당,서울 송파구 삼전로9길 5-2 1층 103호,3.8,127.08864396725,37.5061507608539
228,미성양꼬치,서울 송파구 올림픽로32길 19-6,3.2,127.109704265464,37.5143750146701
229,츠쿠모,서울 송파구 올림픽로32길 58 1층,4.0,127.112433147977,37.5120866023654
230,완도산회 문정점,서울 송파구 문정로 29,3.2,127.126037780549,37.4864679099405
231,주문진해물한상,서울 송파구 오금로19길 9,3.7,127.113601114489,37.5107534406596
